904.43, 38.9841, 15
831.186, 37.3887, 11
365.075, 26.0176, 19
359.589, 48.4385, 12
386.561, 39.1137, 13
hayden
619.545, 23.5342, 23
352.046, 38.4934, 16
459.054, 39.4727, 23
829.386, 49.9208, 37
502.722, 60.3948, 21
jeffrey
798.401, 20.8709, 21
312.753, 25.4746, 39
592.885, 41.9002, 18
519.366, 12.1431, 17
371.636, 31.7466, 19
nico
688.556, 55.1583, 23
152.662, 14.4572, 49
341.865, 27.9428, 57
70.3011, 5.51291, 47
955.342, 32.4887, 58
logan
118.065, 5.17075, 50
190.876, 26.0418, 31
73.7417, 7.4498, 28
61.313, 9.67673, 35
57.9937, 66.9236, 7
Fernando
758.747, 18.6479, 35
251.64, 17.0178, 41
243.036, 37.2561, 42
571.735, 46.6022, 54
636.706, 39.6389, 38
Mannie
290.928, 34.2301, 366, 65, 94, 69
769.549, 22.4584, 482, 18, 22, 51
131.81, 22.8512, 566, 36, 31, 66
Tara
242.623, 31.2627, 92, 4, 13, 20
964.159, 32.8813, 96, 8, 19, 14
Arthur
377.656, 47.3756, 289, 147, 56, 53
358.185, 17.7937, 135, 95, 48, 68
Emily
357.68, 21.3659, 188, 146, 38,43
189.469, 13.3624, 115, 169, 82, 54
NAME UNKNOWN
417.929, 53.0731, 118, 253, 122, 42
176.828, 11.5959, 220, 68, 24, 31
Ethan
735.099, 38.0887, 352, 2, 32, -118111
94.1604, 29.2464, 398, 24, 4, 53
Michaela
290.556, 38.277, 101, 49, 23, 23
74.8259, 30.3833, 72, 61, 35, -120033
130.798, 24.8073, 459, 79, 80, -120153
134.744, 21.9923, 96, 24, 26, -120307
461.222, 10.1861, 104, 30, 24, -120407
Arthur
217.89, 41.6783, 246, 18, 4, -120639
187.005, 20.3078, 260, 121, 70, -120795
281.535, 31.3698, 127, 34, 25, -120994
1709.97, 17.5366, 15600, 54, 41, -121489
44.4666, 3.19935, 34, 23, 3, 15.3351, -1.79468
0.696195, 1.0507, 52, 0, 0, 13.7092, -3.19534
1.75484, 1.10689, 12, 0, 0, 2.14959, -6.40576
1.61822, 1.18785, 60, 0, 0, 15.3582, -4.25821
90.4448, 3.56126, 25, 5, 4, 8.24391, -2.63982
0.50805, 1.33338, 16, 0, 0, 3.32398, -2.77957
48.4319, 1.42755, 34, 10, 2, 11.539, 5.5626
61.0699, 10.0519, 77, 0, 3, 20.885, 7.61887
0.574515, 1, 60, 0, 0, 15.3231, 2.19495
114.303, 10.6626, 109, 5, 7, 35.834, 3.99331
107.428, 4.9206, 28, 60, 9, 25.7212, 2.19357
50.1165, 4.01966, 97, 8, 26, 36.3429, 1.83823
1.03349, 1.19636, 26, 0, 0, 6.02261, 2.27137
1.70757, 1, 28, 0, 0, 6.53768, 2.37246
0.781246, 1.02245, 34, 0, 0, 8.20388, 1.92076
2.71466, 1.30188, 54, 0, 0, 13.5825, 2.53815
0.55266, 1.32927, 66, 0, 0, 19.8342, 2.90073
0.437461, 1.1515, 25, 56, 16, 10.4095, 7.04964
0.560323, 1.21966, 26, 27, 37, 11.4104, 3.36007
0, 1, 2, 202, 82, 19.7118, 3.68006
0, 1, 0, 0, 0, 8.21378, 11.8713
154.755, 15.3052, 124, 19, 26, 51.3929, 4.47785
0.617827, 1, 8, 0, 0, 1.09144, 3.26332
2.01319, 1.28538, 140, 0, 0, 37.2387, 3.10145
0.51267, 1.12565, 66, 0, 0, 16.9396, 1.44202
329.001, 5.29181, 113, 0, 4, 30.0756, 2.4538
0.461384, 23.1076, 56, 0, 0, 14.2468, 4.53566
469.896, 20.9028, 77, 0, 5, 19.2033, 2.28824
0.538747, 1.16299, 24, 0, 0, 5.51803, 19.8482
0.589965, 1.155, 16, 0, 0, 3.41935, 29.3046
1.21471, 1.16518, 24, 0, 0, 5.49434, 1.91645
0.597603, 1.21152, 20, 0, 0, 4.40449, 1.58038
0.558888, 1.23299, 282, 0, 0, 76.4867, 1.47972
0.652889, 1.16517, 40, 0, 0, 9.82561, 1.68163
93.7496, 14.7182, 59, 8, 4, 15.8879, 1.95232
321.251, 3.09138, 102, 59, 17, 51.034, 5.50805
148.662, 19.2199, 92, 23, 10, 33.8496, 1.62195
251.925, 12.0619, 101, 362, 31, 43.7903, 5.53754
61.1896, 6.05295, 108, 29, 14, 44.3236, 7.58597
73.2461, 11.0155, 190, 80, 40, 77.2965, 2.23191
1.12066, 1.01546, 25, 66, 45, 21.3634, 1.6368
0.640814, 1.14605, 49, 62, 16, 33.9794, 1.92643
1.3089, 1.58958, 20, 58, 4, 21.2832, 1.9909
0.33451, 1.15654, 20, 275, 30, 45.9971, 1.59627
148.15, 21.9632, 12, 96, 2, 29.0695, 2.58954
0.394721, 1.23481, 18, 53, 5, 19.6811, 1.86888
0.71616, 1.1073, 20, 142, 39, 53.58, 1.72891
0.891078, 1.26773, 36, 0, 0, 8.76159, 2.41256
167.868, 1.99987, 25, 14, 15, 14.2541, 3.96382
113.965, 5.75801, 26, 2, 4, 11.4043, 2.03027
64.7264, 17.3388, 18, 0, 1, 8.78261, 1.51064
9.48321, 2.91104, 20, 1, 3, 8.68937, 2.12419
43.166, 6.62755, 18, 0, 0, 7.09379, 1.76037
67.0688, 2.84174, 16, 0, 2, 8.18488, 1.70024
118.408, 4.0045, 12, 18, 5, 9.74651, 5.07548
258.02, 5.98339, 14, 0, 2, 9.93796, 2.16829
113.036, 7.05578, 26, 3, 4, 15.7572, 3.79735
143.532, 4.56599, 15, 0, 1, 5.45002, 2.34267
66.8573, 5.5567, 14, 0, 0, 8.13201, 9.58985
79.1827, 3.36098, 20, 4, 4, 6.58071, 17.9847
0.287431, 1, 18, 0, 0, 3.83554, 4.12884
0, 1, 16, 0, 0, 3.24245, 1.22939
0, 1, 34, 0, 0, 8.20534, 4.17777
0, 1, 40, 0, 0, 9.83865, 2.23619
131.049, 11.7593, 54, 5, 3, 15.8682, 4.01746
67.7247, 6.1214, 42, 17, 9, 17.7845, 12.2743
224.364, 3.52294, 22, 0, 4, 6.04716, 1.72546
238.271, 21.2465, 70, 4, 10, 21.9805, 2.31413
1.27164, 1.65778, 142, 0, 0, 37.7512, 5.1839
1.72941, 1.32654, 38, 0, 0, 9.26628, 2.06524
1.13003, 1.23003, 50, 0, 0, 12.5655, 3.18416
0.831871, 1.55918, 108, 0, 0, 28.4275, 1.88039
1088.29, 16.469, 44, 0, 4, 11.9658, 1.82441
412.119, 16.5548, 41, 2, 11, 13.844, 3.30141
671.722, 1.40597, 40, 385, 137, 153.205, 2.76788
1.29684, 1.79008, 22, 0, 0, 4.88868, 3.07868
722.93, 29.3457, 33, 2, 9, 11.0265, 4.46884
nan, 38.0637, 421, 0, 3, 118.238, 2.22643
